DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/02/2018,15:00,MANHATTAN,10168,40.751564,-73.97638,"(40.751564, -73.97638)",,,122       EAST 42 STREET                ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3874606,TAXI,,,,
04/02/2018,15:02,BRONX,10453,40.85477,-73.90299,"(40.85477, -73.90299)",CRESTON AVENUE                  ,EAST 181 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874692,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,15:05,,,40.634193,-73.96988,"(40.634193, -73.96988)",EAST 8 STREET                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3874246,PASSENGER VEHICLE,CONV,,,
04/02/2018,15:05,,,40.8541,-73.919106,"(40.8541, -73.919106)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874780,PASSENGER VEHICLE,TK,,,
04/02/2018,15:06,BROOKLYN,11207,40.66602,-73.896324,"(40.66602, -73.896324)",DUMONT AVENUE                   ,GEORGIA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874828,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:12,,,40.70694,-74.01353,"(40.70694, -74.01353)",EDGAR STREET                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874674,PASSENGER VEHICLE,,,,
04/02/2018,15:14,BROOKLYN,11229,40.600327,-73.937035,"(40.600327, -73.937035)",,,2121      COYLE STREET                  ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3874346,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/02/2018,15:14,,,40.67053,-73.90511,"(40.67053, -73.90511)",PITKIN AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3873967,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:15,BROOKLYN,11215,40.676395,-73.98247,"(40.676395, -73.98247)",,,611       PRESIDENT STREET              ,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3874127,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,15:15,,,40.75144,-73.97397,"(40.75144, -73.97397)",EAST 43 STREET                  ,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3873964,TK,PASSENGER VEHICLE,,,
04/02/2018,15:20,QUEENS,11420,40.67827,-73.8222,"(40.67827, -73.8222)",LINDEN BOULEVARD                ,117 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874122,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,15:20,,,40.602123,-74.18793,"(40.602123, -74.18793)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3876718,PASSENGER VEHICLE,TK,,,
04/02/2018,15:20,MANHATTAN,10036,40.757977,-73.97979,"(40.757977, -73.97979)",,,32        WEST 48 STREET                ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3873929,BICYCLE,PASSENGER VEHICLE,,,
04/02/2018,15:25,BRONX,10454,40.80937,-73.91759,"(40.80937, -73.91759)",,,510       EAST 141 STREET               ,1,0,1,0,0,0,0,0,Unspecified,,,,,3874086,VAN,,,,
